north_german;Niederdeutsch;x
south_german;Oberdeutsch;x
sudwest_german;Alemannischdeutsch;x
central_german;Ostmitteldeutsch;x
dutch;Westmitteldeutsch;x
ukrainian;Ruthenian;x
british;English;x
irish;Celtic;x
scottish;Scottish;x
serb;Illyrian;x
estonian;Baltischdeutsch;x
NET;Burgundy;x
NET_ADJ;Burgundian;x
NET_proletarian_dictatorship;Dutch Republic;x
NET_proletarian_dictatorship_ADJ;Dutch;x
NET_absolute_monarchy;Kingdom of Burgundy;x
NET_prussian_constitutionalism;Kingdom of Burgundy;x
NET_hms_government;Burgundian Circle;x
NET_democracy;Dutch Republic;x
NET_democracy_ADJ;Dutch;x
prussian_constitutionalism;Constituional Monarchy;x
hms_government;Imperial Kingdom;x
PRU;Hanseatic League;x
PRU_ADJ;Hanseatic;x
PRU_democracy;Hanseatic Confederation;x
ENG;England;x
ENG_ADJ;English;x
ENG_proletarian_dictatorship_ADJ;English;x
ENG_democracy;English Republic;x
ENG_absolute_monarchy;Kingdom of England;x
ENG_prussian_constitutionalism;Kingdom of England;x
GRE;Byzantium;x
GRE_ADJ;Byzantine;x
PER;Iranshahr;x
PER_ADJ;Iranian;x
persian;Iranian;x
IRQ;Iraqi Revolutionary Army;x
SIC;Naples;x
SIC_ADJ;Napolitean;x
CHI_absolute_monarchy;Chinese Confucianism Kingdom;x
CHI;Chinese Confucianism Kingdom;x
CHI_ADJ;Confucian;x
WEI_ADJ;Saxon;x
WEI;Upper Saxony;x
WEI_hms_government;Upper Saxon Circle;x
FRM_ADJ;Franconian;x
FRM;Fanconia;x
FRM_hms_government;Franconian Circle;x
WUR_ADJ;Swabian;x
WUR;Swabia;x
WUR_hms_government;Swabian Circle;x
BAD_ADJ;Rhenish;x
BAD;Rhineland;x
BAD_hms_government;Upper Rhenish Circle;x
HAN_ADJ;Westphalen;x
HAN;Westphalia;x
HAN_hms_government;Westphalian Circle;x
OLD_ADJ;Saxon;x
OLD;Lower Saxony;x
OLD_hms_government;Lower Saxon Circle;x
AUS;Holy Roman Empire;x
AUS_ADJ;German;x
ENG_2228;Dunkirk;x
USA_116;Falklands;x
ENG_2132;Tristan da Cunha;x
